VTMagazynId,NumerKompletu,SztukiZeskanowane,SztukiDeklarowane,ZeskanowanychNaKomplet,NaKomplet,Wiazka,KodCiety,Pracownik,DokDostawy,DataUtworzenia,DataDostawy,Komplet,Deklarowany,autocompleteEnabled,wymuszonaIlosc,DataDopisu,DopisanaIlosc,DostawaDopis,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
4101aa01-e551-491b-9472-08d8434f7ded,0,4,4,18,18,23419104A,AEB19106,filonowicz,49734886,08/18/2020 10:48:17,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
daa545f6-b8a3-4c3c-9473-08d8434f7ded,0,20,20,16,16,23419087A,AEB17906,filonowicz,49734886,08/18/2020 10:48:25,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
2da979d7-65d7-4fd5-9474-08d8434f7ded,0,112,112,18,18,23419160A,AEB21012,filonowicz,49734886,08/18/2020 10:48:36,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
e1b74a60-b8db-4ad8-9475-08d8434f7ded,0,18,18,16,16,23419089A,AEB18010,filonowicz,49734886,08/18/2020 10:48:45,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
334a7f87-34ae-4029-9476-08d8434f7ded,0,4,4,18,18,22707378A,AEB07410,filonowicz,49734886,08/18/2020 10:48:54,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
9ae649af-8670-49ce-9477-08d8434f7ded,0,21,21,18,18,23419111A,AEB19410,filonowicz,49734886,08/18/2020 10:49:03,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
077eb9d7-969a-4f8b-9478-08d8434f7ded,0,15,15,16,16,23419086A,AEB17810,filonowicz,49734886,08/18/2020 10:49:09,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
9d55dade-90f5-4c6f-9479-08d8434f7ded,0,20,20,16,16,23419087A,AEB17910,filonowicz,49734886,08/18/2020 10:49:17,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
a1a03250-c0af-4aac-947a-08d8434f7ded,0,11,11,18,18,23419170A,AEB21910,filonowicz,49734886,08/18/2020 10:49:22,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
dfc1e802-6d2a-49e6-947b-08d8434f7ded,0,14,14,18,18,23419162A,AEB21210,filonowicz,49734886,08/18/2020 10:49:33,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
37e4cbdd-ca2f-412b-947c-08d8434f7ded,0,10,10,18,18,23419165A,AEB21510,filonowicz,49734886,08/18/2020 10:49:39,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
a57465b0-f387-441a-947d-08d8434f7ded,0,4,4,18,18,23419104A,AEB19110,filonowicz,49734886,08/18/2020 10:49:45,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
ffd99031-c8ca-40ba-947e-08d8434f7ded,0,3,3,18,18,23419093A,AEB18310,filonowicz,49734886,08/18/2020 10:49:52,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
32c01bf4-f586-4185-947f-08d8434f7ded,0,35,35,18,18,23419128A,AEB20910,filonowicz,49734886,08/18/2020 10:49:59,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
e4f62352-5f33-4828-9480-08d8434f7ded,0,44,44,16,16,23419117A,AEB22210,filonowicz,49734886,08/18/2020 10:50:06,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
4b3bb771-059b-4378-9481-08d8434f7ded,0,26,26,16,16,23419129A,AEB13110,filonowicz,49734886,08/18/2020 10:50:11,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
0353cf78-6625-40fd-9482-08d8434f7ded,0,14,14,16,16,23419008A,AEB16010,filonowicz,49734886,08/18/2020 10:50:17,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
2f973084-1f79-4d6b-9483-08d8434f7ded,0,11,11,16,16,23419082A,AEB17410,filonowicz,49734886,08/18/2020 10:50:22,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
